Date,Site,HiLo,Transect,Quadrat,SpRichness_quadrat,QuadName,Diver_invert,Diver_algae,Invert%,Invert_Biomass,DominantSp_1,DominantSp_2,substrate_1,substrate_1cov,substrate2,substrate2cov,substrate3,substrate3cov,Comments
10-Jul,Anniversary_Is,Lo,T1,Q10,11,Anniversary_Is_T1Q10,sarah,sharon,70,3500,,,1,100,,,,,
10-Jul,Anniversary_Is,Lo,T1,Q30,14,Anniversary_Is_T1Q30,sarah,sharon,10,100,,,1,100,,,,,
10-Jul,Anniversary_Is,Lo,T1,Q50,22,Anniversary_Is_T1Q50,sarah,sharon,80,4000,,,3,100,,,,,
10-Jul,Anniversary_Is,Lo,T2,Q10,5,Anniversary_Is_T2Q10,sarah,sharon,70,7000,,,1,100,,,,,
10-Jul,Anniversary_Is,Lo,T2,Q30,12,Anniversary_Is_T2Q30,sarah,sharon,30,3000,,,1,100,,,,,
10-Jul,Anniversary_Is,Lo,T2,Q50,17,Anniversary_Is_T2Q50,sarah,sharon,5,500,,,1,100,,,,,
10-Jul,Anniversary_Is,Lo,T3,Q10,11,Anniversary_Is_T3Q10,candice,joanne,20,200,,,1,90,2,10,,,
10-Jul,Anniversary_Is,Lo,T3,Q30,18,Anniversary_Is_T3Q30,candice,joanne,10,30100,,,1,80,2,20,,,
10-Jul,Anniversary_Is,Lo,T3,Q50,8,Anniversary_Is_T3Q50,candice,joanne,15,150,,,1,90,2,10,,,
12-Jul,Bedwell_Hbr,Lo,T1,Q10,25,Bedwell_Hbr_T1Q10,candice,sharon,20,20400,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T1,Q30,29,Bedwell_Hbr_T1Q30,candice,sharon,35,5250,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T1,Q50,23,Bedwell_Hbr_T1Q50,candice,sharon,25,25500,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q10,16,Bedwell_Hbr_T2Q10,sarah,jessica,40,4000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q30,16,Bedwell_Hbr_T2Q30,sarah,jessica,20,4000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q50,21,Bedwell_Hbr_T2Q50,sarah,jessica,50,10000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q10,25,Bedwell_Hbr_T3Q10,candice,sarah,10,1000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q30,22,Bedwell_Hbr_T3Q30,candice,sarah,20,20500,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q50,23,Bedwell_Hbr_T3Q50,candice,sarah,10,2000,,,2,80,10,20,,,
12-Jul,Blunden_It,Hi,T1,Q10,14,Blunden_It_T1Q10,sharon,jessica,50,10000,,,1,100,,,,,
12-Jul,Blunden_It,Hi,T1,Q30,11,Blunden_It_T1Q30,sharon,jessica,50,10000,,,1,100,,,,,
12-Jul,Blunden_It,Hi,T1,Q50,26,Blunden_It_T1Q50,sharon,jessica,70,21000,,,2,80,10,20,,,
12-Jul,Blunden_It,Hi,T2,Q10,7,Blunden_It_T2Q10,sarah,candice,60,6000,,,3,100,,,,,
12-Jul,Blunden_It,Hi,T2,Q30,10,Blunden_It_T2Q30,sarah,candice,50,5000,,,2,100,,,,,
12-Jul,Blunden_It,Hi,T2,Q50,20,Blunden_It_T2Q50,sarah,candice,80,16000,,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q10,20,Blunden_It_T3Q10,sharon,candice,70,27000,,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q30,27,Blunden_It_T3Q30,sharon,candice,20,23000,Dodecaceria fewksi,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q50,37,Blunden_It_T3Q50,sharon,candice,50,5000,,,2,80,4,10,10,10,
26-Jun,Burial_Is,Hi,T1,Q10,20,Burial_Is_T1Q10,sharon,candice,30,15000,,,2,80,10,20,,,
26-Jun,Burial_Is,Hi,T1,Q30,28,Burial_Is_T1Q30,sharon,candice,80,80000,Metridium farcimen,Dodecaceria fewksi,1,50,2,50,,,
26-Jun,Burial_Is,Hi,T1,Q50,8,Burial_Is_T1Q50,sharon,candice,30,6000,,,5,70,4,20,7,10,
27-Jun,Burial_Is,Hi,T2,Q10,27,Burial_Is_T2Q10,candice,sharon,30,1800,,,2,100,,,,,
26-Jun,Burial_Is,Hi,T2,Q30,16,Burial_Is_T2Q30,candice,sharon,10,300,,,2,100,,,,,
26-Jun,Burial_Is,Hi,T2,Q50,17,Burial_Is_T2Q50,candice,sharon,60,1200,,,2,100,,,,,
